"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Shore Specialty Consultants Pulmonology Group","NJ","Healthcare Provider","9700","09/06/2019","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Alive Hospice","TN","Healthcare Provider","533","09/06/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Simmons Family Chiropractic","GA","Healthcare Provider","2000","09/06/2019","Theft","Laptop, Other Portable Electronic Device","No",""
"Fedcap Rehabilitation Services, Inc.","NY","Healthcare Provider","2158","08/29/2019","Hacking/IT Incident","Email","No",""
"Artesia General Hospital","NM","Healthcare Provider","13905","08/27/2019","Hacking/IT Incident","Email","No",""
"Lyons Companies","PA","Business Associate","1982","08/23/2019","Hacking/IT Incident","Email","Yes",""
"The Cardiovascular Group","GA","Healthcare Provider","2168","08/23/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Choctaw Nation Health Services Authority","OK","Healthcare Provider","550","08/23/2019","Hacking/IT Incident","Email","No",""
"Conway Regional Health System","AR","Healthcare Provider","37000","08/23/2019","Hacking/IT Incident","Email","No",""
"Navicent Health, Inc. ","GA","Healthcare Provider","1357","08/23/2019","Hacking/IT Incident","Email","No",""
"Wilson County Memorial Hospital District dba Connally Memorial Medical Center","TX","Healthcare Provider","7358","08/19/2019","Theft","Laptop","Yes",""
"Virginia Gay Hospital ","IA","Healthcare Provider","5030","08/16/2019","Hacking/IT Incident","Email","No",""
"RHODE ISLAND EAR,NOSE AND THROAT PHYSICIANS INC.","RI","Healthcare Provider","2943","08/16/2019","Hacking/IT Incident","Network Server","No",""
"Bayview Dental","MN","Healthcare Provider","1938","08/13/2019","Hacking/IT Incident","Network Server","No",""
"Primary Medicine of Sherman, PA/Robert J. Hernandez MD","TX","Healthcare Provider","1000","08/11/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Harbor Health Services, Inc.","MA","Healthcare Provider","750","08/09/2019","Hacking/IT Incident","Email","No",""
"Mid-Valley Behavioral Care Network","OR","Business Associate","10710","08/09/2019","Hacking/IT Incident","Email","Yes",""
"Timothee T. Wilkin, D.O.","AR","Healthcare Provider","15113","08/09/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Cancer Center of Kansas","KS","Healthcare Provider","773","08/09/2019","Hacking/IT Incident","Network Server","No",""
"Enlightened Solutions LLC","NJ","Healthcare Provider","844","08/09/2019","Hacking/IT Incident","Email","No",""
"Drexel Medicine","PA","Healthcare Provider","4340","08/07/2019","Hacking/IT Incident","Email","No",""
"One Care Medical, LLC","VA","Healthcare Provider","634","08/06/2019","Hacking/IT Incident","Desktop Computer","No",""
"Wisconsin Diagnostic Laboratories","WI","Healthcare Provider","114985","08/02/2019","Hacking/IT Incident","Other","Yes",""
"University of Missouri Health Care","MO","Healthcare Provider","14402","08/02/2019","Hacking/IT Incident","Email","No",""
"Presbyterian Healthcare Services","NM","Healthcare Provider","183370","08/02/2019","Hacking/IT Incident","Email","No",""
"CompuNet Clinical Laboratories, LLC","OH","Healthcare Provider","111555","07/26/2019","Hacking/IT Incident","Other","Yes",""
"Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group","TN","Healthcare Provider","3812","07/26/2019","Hacking/IT Incident","Email","No",""
"Susan Marshall, M.D.,PC","NY","Healthcare Provider","743","07/25/2019","Theft","Laptop","No",""
"Wayne County Board of Developmental Disabilities","OH","Healthcare Provider","536","07/25/2019","Hacking/IT Incident","Network Server","No",""
"RCCA MSO LLC","NJ","Business Associate","102000","07/23/2019","Hacking/IT Incident","Email","Yes",""
"Imperial Health, LLP","LA","Healthcare Provider","116262","07/18/2019","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center","MD","Healthcare Provider","2696","07/17/2019","Hacking/IT Incident","Email","No",""
"Associates in Dermatology, PLLC","KY","Healthcare Provider","9020","07/16/2019","Hacking/IT Incident","Email","No",""
"Memphis Pathology Laboratory d/b/a American Esoteric Laboratories","TN","Healthcare Provider","409789","07/15/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Wise Health System ","TX","Healthcare Provider","35899","07/13/2019","Hacking/IT Incident","Email","No",""
"CentraCare Health System","MN","Healthcare Provider","2085","07/12/2019","Hacking/IT Incident","Network Server","Yes",""
"Cancer Treatment Centers of America (CTCA) at Eastern Regional Medical Center","PA","Healthcare Provider","3904","07/12/2019","Hacking/IT Incident","Email","No",""
"Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider","4559","07/12/2019","Hacking/IT Incident","Email","No",""
"Hunt Regional Medical Center","TX","Healthcare Provider","3700","07/12/2019","Hacking/IT Incident","Network Server","No",""
"Ameritas Life Insurance Corp.","NE","Health Plan","39675","07/08/2019","Hacking/IT Incident","Email","No",""
"RGH Enterprises, Inc. d/b/a Edgepark Medical Supplies ","OH","Healthcare Provider","6572","07/05/2019","Hacking/IT Incident","Network Server","No",""
"Alive Hospice","TN","Healthcare Provider","608","07/03/2019","Hacking/IT Incident","Email","No",""
"Adirondacks ACO, LLC","NY","Business Associate","39649","07/02/2019","Hacking/IT Incident","Email","Yes",""
"Optum360, LLC","MN","Business Associate","11500000","07/01/2019","Hacking/IT Incident","Network Server","Yes",""
"Southwest Gastroenterology","IL","Healthcare Provider","1600","06/28/2019","Theft","Electronic Medical Record","No",""
"Addison County Home Health & Hospice","VT","Healthcare Provider","758","06/25/2019","Hacking/IT Incident","Email","No",""
"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.","VA","Health Plan","2964778","06/21/2019","Hacking/IT Incident","Network Server","No",""
"Community Physicians Group","AR","Healthcare Provider","5400","06/20/2019","Hacking/IT Incident","Email","No",""
"EyeCare Partners, LLC [on behalf of affiliated covered entities]","MO","Healthcare Provider","141165","06/19/2019","Hacking/IT Incident","Network Server","No",""
"TenX Systems, LLC d/b/a ResiDex Software","MN","Business Associate","90000","06/07/2019","Hacking/IT Incident","Network Server","Yes",""
"Health Quest Systems, Inc. ","NY","Healthcare Provider","372043","05/31/2019","Hacking/IT Incident","Email","No",""
"Broome County, New York","NY","Healthcare Provider","7048","05/31/2019","Hacking/IT Incident","Email","No",""
"Cerpassrx, LLC","TX","Health Plan","2513","05/31/2019","Hacking/IT Incident","Email","No",""
"The Union Labor Life Insurance Company","MD","Health Plan","87400","05/31/2019","Hacking/IT Incident","Email","No",""
"Capital City Paincare","OH","Healthcare Provider","1012","05/31/2019","Hacking/IT Incident","Network Server","No",""
"Takai, Hoover, and Hsu, P.A.","MD","Healthcare Provider","16542","05/29/2019","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record","No",""
"Maranatha Village Inc.","MO","Healthcare Provider","520","05/24/2019","Hacking/IT Incident","Email","No",""
"Healthfirst","NY","Health Plan","1811","05/24/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Talley Medical Surgical Eyecare Associates, PC","IN","Healthcare Provider","106000","05/24/2019","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server","No",""
"Farmacia La Amistad Inc.","","Healthcare Provider","2500","05/24/2019","Hacking/IT Incident","Network Server","No",""
"Mercy Health Saint Mary's","MI","Healthcare Provider","978","05/24/2019","Hacking/IT Incident","Network Server","No",""
"Centura Health","CO","Healthcare Provider","7515","05/22/2019","Hacking/IT Incident","Email","No",""
"Special Health Resources for Texas, Inc. ","TX","Healthcare Provider","567","05/21/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Acadia Montana Treatment Center","MT","Healthcare Provider","14794","05/17/2019","Hacking/IT Incident","Email","No",""
"Communities Connected for Kids, Inc. ","FL","Business Associate","501","05/15/2019","Hacking/IT Incident","Network Server","Yes",""
"Aging Disability and Transit Services of Rockingham County  ","NC","Healthcare Provider","500","05/15/2019","Hacking/IT Incident","Network Server","No",""
"Cancer Treatment Centers of America® (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider","16819","05/10/2019","Hacking/IT Incident","Email","No",""
"UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan","20536","05/08/2019","Unauthorized Access/Disclosure","Other","No",""
"Independent Health Association, Inc.","NY","Health Plan","7605","05/08/2019","Unauthorized Access/Disclosure","Email","No",""
"Inmediata Health Group, Corp.","","Healthcare Clearing House","1565338","05/07/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Hospice Care Plus, Inc.","KY","Healthcare Provider","2000","05/06/2019","Unauthorized Access/Disclosure","Laptop","No",""
"Spectrum Health Lakeland","MI","Healthcare Provider","1100","05/06/2019","Hacking/IT Incident","Email","Yes",""
"American Baptist Homes of the Midwest","MN","Healthcare Provider","10993","05/06/2019","Hacking/IT Incident","Email, Network Server","No",""
"OS, Inc.","WI","Business Associate","7880","05/02/2019","Hacking/IT Incident","Email","Yes",""
"The Southeastern Council on Alcoholism and Drug Dependence","CT","Healthcare Provider","25148","05/01/2019","Hacking/IT Incident","Network Server","No",""
"Health Care Service Corporation","IL","Health Plan","676","04/24/2019","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Logansport Memorial Hospital","IN","Healthcare Provider","3568","04/23/2019","Hacking/IT Incident","Email","No",""
"Doctors Management Services, Inc.","MA","Business Associate","206695","04/22/2019","Hacking/IT Incident","Network Server","Yes",""
"LISA ROSE DURSO, M.D. PLLC","NY","Healthcare Provider","537","04/22/2019","Hacking/IT Incident","Network Server","No",""
"People, Inc.","NY","Healthcare Provider","970","04/19/2019","Hacking/IT Incident","Email","No",""
"Pediatric Orthopedic Specialties, PA, dba ActivYouth Orthopaedics","NJ","Healthcare Provider","24176","04/18/2019","Hacking/IT Incident","Network Server","No",""
"ELENA MARIA BURUIANA PHYSICIAN P.C.","NY","Healthcare Provider","1308","04/18/2019","Hacking/IT Incident","Network Server","No",""
"Center for Sight & Hearing","IL","Healthcare Provider","5319","04/18/2019","Hacking/IT Incident","Email","No",""
"Delta Dental of Illinois","IL","Health Plan","5092","04/16/2019","Hacking/IT Incident","Email","No",""
"National Seating & Mobility, Inc. ","TN","Healthcare Provider","3800","04/15/2019","Hacking/IT Incident","Email","No",""
"Metro Santurce, Inc. d/b/a Hospital Pavia Santurce and Metro Hato Rey, Inc. d/b/a Hospital Pavia Hato Rey","","Healthcare Provider","305737","04/13/2019","Hacking/IT Incident","Network Server","No",""
"Harbor","OH","Healthcare Provider","29972","04/12/2019","Hacking/IT Incident","Email","No",""
"Questcare Medical Services, PLLC","TX","Healthcare Provider","5573","04/12/2019","Hacking/IT Incident","Email","No",""
"Riverplace Counseling Center, Inc.","MN","Healthcare Provider","11639","04/11/2019","Hacking/IT Incident","Network Server","No",""
"Rehabilitation Hospital of Northwest Ohio","OH","Healthcare Provider","1143","04/08/2019","Hacking/IT Incident","Email","No",""
"Metrocare Services","TX","Healthcare Provider","5290","04/05/2019","Hacking/IT Incident","Email","No",""
"Baystate Health","MA","Healthcare Provider","11658","04/05/2019","Hacking/IT Incident","Email","No",""
"Gulf Coast Pain Consultants, LLC d/b/a Clearway Pain Solutions Institute","FL","Healthcare Provider","35000","04/05/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Health Recovery Services, Inc.","OH","Healthcare Provider","20485","04/05/2019","Hacking/IT Incident","Network Server","No",""
"Klaussner Furniture Industries, Inc. Employee Benefits Plan (through its sponsor, Klaussner Furniture Industries, Inc.)","NC","Health Plan","9352","04/05/2019","Hacking/IT Incident","Network Server","No",""
"Oregon Endodontic Group	","OR","Healthcare Provider","2952","04/02/2019","Hacking/IT Incident","Email","No",""
"Superior Dental Care Alliance","OH","Business Associate","38260","03/25/2019","Hacking/IT Incident","Email","Yes",""
"Superior Dental Care","OH","Health Plan","38260","03/25/2019","Hacking/IT Incident","Email","No",""
"Human Development Center","MN","Healthcare Provider","1200","03/22/2019","Hacking/IT Incident","Email","No",""
"Oregon Department of Human Services","OR","Business Associate","500","03/22/2019","Hacking/IT Incident","Email","Yes",""
"Navicent Health, Inc.","GA","Healthcare Provider","278016","03/22/2019","Hacking/IT Incident","Email","No",""
"Frederick Memorial Hospitial","MD","Healthcare Provider","760","03/18/2019","Hacking/IT Incident","Email","No",""
"L.A. Care Health Plan","CA","Health Plan","1506","03/15/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Southern Hills Eye Care","IA","Healthcare Provider","11617","03/15/2019","Hacking/IT Incident","Network Server","No",""
"LCP Transportation, Inc","IN","Business Associate","54528","03/15/2019","Hacking/IT Incident","Email","Yes",""
"Little Rock Cancer Clinic, P.A.","AR","Healthcare Provider","3804","03/11/2019","Hacking/IT Incident","Network Server","No",""
"Equitas Health","OH","Healthcare Provider","569","03/09/2019","Hacking/IT Incident","Email","No",""
"Oklahoma Heart Hospital, LLC","OK","Healthcare Provider","1221","03/07/2019","Theft","Desktop Computer","No",""
"Direct Scripts","OH","Healthcare Provider","9319","03/06/2019","Hacking/IT Incident","Network Server","No",""
"St. Francis Physician Services","SC","Healthcare Provider","32178","03/04/2019","Hacking/IT Incident","Network Server","No",""
"Arthritis & Rheumatism Associates, P.C.","MD","Healthcare Provider","500","03/01/2019","Hacking/IT Incident","Electronic Medical Record","No",""
"Humana Inc","KY","Health Plan","1447","02/27/2019","Hacking/IT Incident","Network Server","Yes",""
"UConn Health","CT","Healthcare Provider","326629","02/21/2019","Hacking/IT Incident","Email","No",""
"Rutland Hospital, Inc. d/b/a/ Rutland Regional Medical Center  ","VT","Healthcare Provider","72224","02/20/2019","Hacking/IT Incident","Email","No",""
"UW Medicine","WA","Healthcare Provider","973024","02/20/2019","Hacking/IT Incident","Network Server","No",""
"Portsmouth Community Health Center","VA","Healthcare Provider","12000","02/14/2019","Hacking/IT Incident","Network Server","No",""
"Rocky Mountain Health Care Services","CO","Healthcare Provider","971","02/11/2019","Hacking/IT Incident","Email","No",""
"Green Ridge Behavioral Health, LLC","MD","Healthcare Provider","14000","02/11/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"USR Holdings, LLC","FL","Business Associate","2903","02/08/2019","Hacking/IT Incident","Network Server","Yes",""
"AdventHealth Medical Group","FL","Healthcare Provider","42161","02/05/2019","Hacking/IT Incident","Network Server","No",""
"Rainbow Dental Care PLLC","TX","Healthcare Provider","10000","02/04/2019","Hacking/IT Incident","Desktop Computer","No",""
"Reproductive Medicine and Infertility Associates, P.A.","MN","Healthcare Provider","40000","02/01/2019","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Schroder's I.T., Inc.","OH","Business Associate","85874","01/29/2019","Hacking/IT Incident","Network Server","Yes",""
"Pawnee County Memorial Hospital","NE","Healthcare Provider","7038","01/28/2019","Hacking/IT Incident","Email","No",""
"Valley Professionals Community Health Center","IN","Healthcare Provider","12029","01/25/2019","Hacking/IT Incident","Email","No",""
"HealthFitness","IL","Business Associate","1808","01/25/2019","Unauthorized Access/Disclosure","Other","Yes",""
"Youssef M Aoun DPM PLLC","MI","Healthcare Provider","700","01/24/2019","Theft","Desktop Computer, Other, Paper/Films","No",""
"Valley Hope Association","KS","Healthcare Provider","70799","01/18/2019","Hacking/IT Incident","Email","No",""
"Integrity, Inc. d/b/a Integrity House","NJ","Healthcare Provider","7206","01/18/2019","Theft","Desktop Computer, Laptop","No",""
"Family Physicians of Winter Park, Inc. ","KY","Healthcare Provider","8429","01/08/2019","Hacking/IT Incident","Email","No",""
"Managed Health Services","IN","Health Plan","31300","01/03/2019","Hacking/IT Incident","Email","Yes",""
"Managed Health Services","IN","Health Plan","576","01/03/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Choice Rehabilitation","MO","Business Associate","4309","12/29/2018","Hacking/IT Incident","Email, Laptop","Yes",""
"Wolverine Solutions Group","MI","Business Associate","48471","12/28/2018","Hacking/IT Incident","Desktop Computer, Network Server","Yes",""
"WEA Insurance Corporation","WI","Health Plan","850","12/27/2018","Hacking/IT Incident","Email","No",""
"Kent County Community Mental Health Authority","MI","Healthcare Provider","2284","12/21/2018","Hacking/IT Incident","Email","No",""
"JAND Inc. d/b/a Warby Parker ","NY","Healthcare Provider","177890","12/20/2018","Hacking/IT Incident","Network Server","No",""
"Barnes-Jewish Hospital","MO","Healthcare Provider","1643","12/18/2018","Hacking/IT Incident","Network Server","No",""
"University of Vermont Health Network - Elizabethtown Community Hospital","NY","Healthcare Provider","32470","12/17/2018","Hacking/IT Incident","Email","No",""
"Smile Designs by Sandwick ","MN","Healthcare Provider","900","12/13/2018","Hacking/IT Incident","Other","No",""
"Ramsey County","MN","Healthcare Provider","599","12/11/2018","Hacking/IT Incident","Email","No",""
"Butler County Board of County Commissioners","OH","Health Plan","1912","12/04/2018","Unauthorized Access/Disclosure","Email","No",""
"Georgia Department of Human Services","GA","Business Associate","435339","11/30/2018","Unauthorized Access/Disclosure","Network Server, Other Portable Electronic Device","Yes",""
"Episcopal Health Services","NY","Healthcare Provider","218055","11/19/2018","Hacking/IT Incident","Email","No",""
"New York Oncology Hematology, P.C.","NY","Healthcare Provider","128400","11/16/2018","Hacking/IT Incident","Email","No",""
"Center for Vitreo-Retinal Diseases","IL","Healthcare Provider","20371","11/16/2018","Hacking/IT Incident","Network Server","No",""
"SUNY Upstate Medical University","NY","Healthcare Provider","1216","11/09/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Oprex Surgery (Baytown), L.P. d/b/a Altus Baytown Hospital","TX","Healthcare Provider","40000","11/02/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Dallas County Mental Health Mental Retardation Center dba Metrocare Services","TX","Healthcare Provider","1804","11/01/2018","Hacking/IT Incident","Email","No",""
"HealthFitness","IL","Business Associate","614","10/28/2018","Unauthorized Access/Disclosure","Other","Yes",""
"CNO ACE","IN","Health Plan","566217","10/25/2018","Hacking/IT Incident","Other","No",""
"CJ Elmwood Partners, L.P.","IA","Healthcare Provider","22416","10/22/2018","Hacking/IT Incident","Network Server","No",""
"Jones Eye Center, P.C.","IA","Healthcare Provider","39605","10/22/2018","Hacking/IT Incident","Network Server","No",""
"HealthFitness","IL","Business Associate","550","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"HealthFitness","IL","Business Associate","1332","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"FirstCare Health Plans","TX","Health Plan","8056","10/12/2018","Unauthorized Access/Disclosure","Email","No",""
"Dr. Robert Carpenter","TX","Healthcare Provider","3000","10/07/2018","Hacking/IT Incident","Network Server","No",""
"Dr. Amy Woodruff","TX","Healthcare Provider","10862","10/07/2018","Hacking/IT Incident","Network Server","No",""
"National Ambulatory Hernia Institute","CA","Healthcare Provider","15974","10/05/2018","Hacking/IT Incident","Network Server","No",""
"Ransom Memorial Hospital ","KS","Healthcare Provider","14329","09/25/2018","Hacking/IT Incident","Email","No",""
